Model,MSE
XGBoost,0.43748769765606677
Support Vector,0.44451294864751767
Random Forest,0.4471186435155788
LightGBM,0.46314902217684545
K-Nearest Neighbors,0.46911578272677895
Multi-layer Perceptron,0.6005787200615852
Gradient Boosting,0.6157286939707308
Ridge Regression,0.6601801060261283
Linear Regression,0.6616126127031944
Decision Tree,0.9070673199951717
Lasso Regression,1.010850600069521
ElasticNet Regression,1.010850600069521
